,name,item_num,order_num,supplier_num,machine_num,objVal,Runtime,MIPGap,is_correct,finished_item_num,finished_order_num,pool_1,pool_2,pool_3,pool_4,pool_5
0,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1
1,Set_39,180,307,20,50,18693.80149666489,611.8117649555206,0.00%,检查正确,89,268,战略_的平均产能规划达成率为_0.3597,核心_的平均产能规划达成率为_0.2928,合格_的平均产能规划达成率为_0.3046,培养_的平均产能规划达成率为_0.3012,观察_的平均产能规划达成率为_0.1838
2,Set_30,181,296,20,59,31772.66139502493,2847.9574811458588,0.00%,检查正确,81,226,战略_的平均产能规划达成率为_0.2737,核心_的平均产能规划达成率为_0.2429,合格_的平均产能规划达成率为_0.1437,培养_的平均产能规划达成率为_0.2274,
3,Set_37,174,308,20,40,43915.044529272214,590.03502202034,0.00%,检查正确,74,215,战略_的平均产能规划达成率为_0.2296,核心_的平均产能规划达成率为_0.2110,合格_的平均产能规划达成率为_0.1702,培养_的平均产能规划达成率为_0.2133,观察_的平均产能规划达成率为_0.1753
4,Set_36,168,315,20,54,13205.121093782582,1769.7012629508972,0.00%,检查正确,92,286,战略_的平均产能规划达成率为_0.3437,核心_的平均产能规划达成率为_0.2914,合格_的平均产能规划达成率为_0.2099,培养_的平均产能规划达成率为_0.2865,观察_的平均产能规划达成率为_0.1440
5,Set_31,184,291,20,58,31458.345267475335,618.8633608818054,0.00%,检查正确,80,225,战略_的平均产能规划达成率为_0.2090,核心_的平均产能规划达成率为_0.1948,合格_的平均产能规划达成率为_0.1297,培养_的平均产能规划达成率为_0.1284,观察_的平均产能规划达成率为_0.1283
6,Set_38,178,291,19,55,18834.78616031869,351.0987648963928,0.00%,检查正确,89,247,战略_的平均产能规划达成率为_0.1907,核心_的平均产能规划达成率为_0.1825,合格_的平均产能规划达成率为_0.1717,培养_的平均产能规划达成率为_0.1651,
7,Set_34,183,300,20,49,24834.08268682004,1399.8096690177917,0.00%,检查正确,85,247,战略_的平均产能规划达成率为_0.3099,核心_的平均产能规划达成率为_0.2632,合格_的平均产能规划达成率为_0.1509,培养_的平均产能规划达成率为_0.1908,观察_的平均产能规划达成率为_0.1396
8,Set_33,180,304,20,54,27332.68543610489,644.2797920703888,0.00%,检查正确,84,244,战略_的平均产能规划达成率为_0.3088,核心_的平均产能规划达成率为_0.2204,合格_的平均产能规划达成率为_0.1625,培养_的平均产能规划达成率为_0.1705,观察_的平均产能规划达成率为_0.1534
9,Set_32,181,330,20,47,34964.9906422464,396.0790059566498,0.00%,检查正确,82,254,战略_的平均产能规划达成率为_0.3218,核心_的平均产能规划达成率为_0.2675,合格_的平均产能规划达成率为_0.2234,培养_的平均产能规划达成率为_0.2654,观察_的平均产能规划达成率为_0.0000
10,Set_35,186,273,19,51,15782.681155786311,208.56432485580444,0.00%,检查正确,89,237,战略_的平均产能规划达成率为_0.4194,核心_的平均产能规划达成率为_0.3132,合格_的平均产能规划达成率为_0.0789,观察_的平均产能规划达成率为_0.0000,
