item_id,machine_type,max_production_limit
0,8,1
1,10,1
1,5,1
2,5,2
3,12,1
4,14,3
5,3,2
6,9,2
6,7,2
6,5,2
7,4,3
8,11,3
8,4,3
8,9,3
9,5,2
10,11,1
11,7,2
11,8,2
12,9,2
13,2,4
14,12,1
15,13,2
16,9,3
17,9,2
18,1,2
18,5,2
19,11,1
19,8,1
19,3,1
20,5,2
21,8,2
21,1,2
22,10,2
23,5,2
24,14,4
25,8,2
26,11,1
27,12,1
28,11,1
28,3,1
29,2,1
30,2,2
30,8,2
31,2,1
31,9,1
31,11,1
32,14,1
32,4,1
33,2,1
34,6,3
34,10,3
35,1,3
35,6,3
36,9,3
36,3,3
37,3,3
37,10,3
38,7,2
39,4,2
40,8,2
41,9,1
41,3,1
42,8,1
42,14,1
43,9,1
43,14,1
44,9,2
44,2,2
45,7,1
46,2,1
46,5,1
46,12,1
47,4,1
47,11,1
48,8,1
49,9,3
50,14,1
51,3,1
52,10,1
53,8,4
53,5,4
54,4,3
54,7,3
55,7,1
55,5,1
55,12,1
56,14,1
56,6,1
57,9,1
58,9,2
58,12,2
58,13,2
59,9,1
59,10,1
60,2,2
60,4,2
61,5,1
62,10,3
62,11,3
63,6,4
64,11,3
64,6,3
65,14,1
66,8,1
67,5,2
67,4,2
68,8,2
68,10,2
69,8,2
70,10,2
70,5,2
71,6,3
72,1,2
72,14,2
73,3,2
73,12,2
74,11,2
74,4,2
74,8,2
75,9,4
76,8,1
77,3,4
78,10,2
78,14,2
78,9,2
79,5,2
79,8,2
80,4,2
81,2,1
81,12,1
81,6,1
82,7,1
82,12,1
83,3,1
83,9,1
83,8,1
84,13,4
85,14,1
85,3,1
86,14,1
86,4,1
87,6,3
88,7,2
88,6,2
89,14,1
90,13,2
91,11,1
92,3,1
92,14,1
93,2,3
94,9,2
95,14,1
95,1,1
96,4,1
96,7,1
97,14,3
97,11,3
98,9,2
98,6,2
99,14,1
