supplier_id,date,max_line_limit,importance
0,0,2,核心
0,1,1,核心
0,2,11,核心
0,3,1,核心
0,4,2,核心
0,5,5,核心
0,6,1,核心
0,7,19,核心
0,8,4,核心
0,9,1,核心
0,10,19,核心
0,11,8,核心
0,12,1,核心
0,13,8,核心
0,14,1,核心
0,15,1,核心
0,16,1,核心
0,17,3,核心
0,18,3,核心
0,19,11,核心
0,20,3,核心
0,21,4,核心
0,22,3,核心
0,23,1,核心
0,24,12,核心
0,25,19,核心
0,26,10,核心
0,27,1,核心
0,28,3,核心
0,29,2,核心
0,30,3,核心
0,31,9,核心
0,32,7,核心
0,33,14,核心
0,34,7,核心
0,35,22,核心
0,36,25,核心
0,37,1,核心
0,38,11,核心
0,39,17,核心
0,40,7,核心
0,41,14,核心
0,42,3,核心
0,43,1,核心
0,44,3,核心
0,45,16,核心
0,46,3,核心
0,47,10,核心
0,48,7,核心
0,49,3,核心
0,50,9,核心
0,51,10,核心
0,52,11,核心
0,53,25,核心
0,54,4,核心
0,55,12,核心
0,56,10,核心
0,57,14,核心
0,58,2,核心
0,59,1,核心
0,60,2,核心
0,61,1,核心
0,62,3,核心
0,63,3,核心
0,64,7,核心
0,65,4,核心
0,66,9,核心
0,67,3,核心
0,68,3,核心
0,69,7,核心
0,70,6,核心
0,71,13,核心
0,72,2,核心
0,73,20,核心
0,74,8,核心
0,75,13,核心
0,76,1,核心
0,77,4,核心
0,78,3,核心
0,79,17,核心
0,80,8,核心
0,81,8,核心
0,82,7,核心
0,83,3,核心
0,84,1,核心
0,85,8,核心
0,86,2,核心
0,87,9,核心
0,88,5,核心
0,89,22,核心
0,90,4,核心
0,91,1,核心
0,92,3,核心
0,93,17,核心
0,94,3,核心
0,95,12,核心
0,96,2,核心
0,97,6,核心
0,98,1,核心
0,99,3,核心
0,100,1,核心
0,101,1,核心
0,102,2,核心
0,103,1,核心
0,104,17,核心
0,105,3,核心
0,106,11,核心
0,107,1,核心
0,108,2,核心
0,109,25,核心
0,110,9,核心
