machine_id,supplier_id,month,planned_capacity,machine_type
0,0,0,52,7
0,0,1,218,7
0,0,2,71,7
0,0,3,145,7
1,1,0,12,0
1,1,1,151,0
1,1,2,59,0
1,1,3,37,0
2,1,0,48,10
2,1,1,40,10
2,1,2,25,10
2,1,3,13,10
3,2,0,100,1
3,2,1,168,1
3,2,2,54,1
3,2,3,219,1
4,2,0,115,1
4,2,1,15,1
4,2,2,139,1
4,2,3,210,1
5,3,0,12,3
5,3,1,104,3
5,3,2,40,3
5,3,3,20,3
6,3,0,52,5
6,3,1,80,5
6,3,2,36,5
6,3,3,112,5
7,3,0,160,6
7,3,1,56,6
7,3,2,98,6
7,3,3,159,6
8,3,0,134,5
8,3,1,102,5
8,3,2,110,5
8,3,3,165,5
9,4,0,154,5
9,4,1,215,5
9,4,2,26,5
9,4,3,150,5
10,4,0,178,9
10,4,1,77,9
10,4,2,160,9
10,4,3,40,9
11,4,0,212,6
11,4,1,211,6
11,4,2,22,6
11,4,3,69,6
12,5,0,19,3
12,5,1,190,3
12,5,2,34,3
12,5,3,46,3
13,5,0,73,6
13,5,1,155,6
13,5,2,61,6
13,5,3,32,6
14,5,0,40,6
14,5,1,41,6
14,5,2,55,6
14,5,3,57,6
15,5,0,130,8
15,5,1,41,8
15,5,2,26,8
15,5,3,146,8
16,6,0,17,6
16,6,1,56,6
16,6,2,70,6
16,6,3,25,6
17,6,0,144,9
17,6,1,193,9
17,6,2,220,9
17,6,3,106,9
18,6,0,130,1
18,6,1,192,1
18,6,2,66,1
18,6,3,32,1
19,6,0,23,3
19,6,1,212,3
19,6,2,205,3
19,6,3,39,3
20,7,0,179,4
20,7,1,161,4
20,7,2,160,4
20,7,3,207,4
21,7,0,80,5
21,7,1,43,5
21,7,2,208,5
21,7,3,53,5
22,7,0,13,0
22,7,1,194,0
22,7,2,65,0
22,7,3,13,0
23,7,0,136,4
23,7,1,52,4
23,7,2,119,4
23,7,3,24,4
24,8,0,41,0
24,8,1,40,0
24,8,2,21,0
24,8,3,180,0
25,8,0,66,4
25,8,1,35,4
25,8,2,41,4
25,8,3,66,4
26,9,0,52,3
26,9,1,84,3
26,9,2,56,3
26,9,3,29,3
27,9,0,129,0
27,9,1,86,0
27,9,2,100,0
27,9,3,46,0
