item_id,machine_type,max_production_limit
0,9,1
0,4,1
1,2,2
2,1,2
2,6,2
3,1,3
4,2,1
5,9,3
6,3,1
7,1,2
8,8,1
9,8,2
9,1,2
10,9,1
11,7,1
11,5,1
12,1,1
13,7,2
13,1,2
14,6,2
15,8,1
15,4,1
16,2,2
17,7,4
18,1,4
18,6,4
19,3,2
20,2,2
20,1,2
21,8,2
22,1,2
22,9,2
22,4,2
23,7,1
23,1,1
24,8,4
24,1,4
25,8,1
26,7,1
26,2,1
27,5,4
27,1,4
27,6,4
28,8,2
28,9,2
29,1,2
29,3,2
30,7,2
31,3,2
31,4,2
31,7,2
32,7,1
33,8,1
33,5,1
34,1,1
34,5,1
35,6,2
36,7,2
37,7,2
37,6,2
38,4,3
38,5,3
39,3,3
40,1,1
41,8,4
41,4,4
42,2,2
42,6,2
43,5,1
43,8,1
44,1,2
45,2,2
46,2,1
47,9,1
48,2,1
48,6,1
49,6,1
50,8,4
51,9,1
52,8,1
53,8,1
54,2,3
55,6,1
55,9,1
56,3,2
57,8,1
57,2,1
57,7,1
58,4,1
58,6,1
59,9,1
59,7,1
60,1,1
61,8,1
62,2,1
63,8,1
64,7,1
64,1,1
65,9,2
66,4,3
66,1,3
67,4,4
68,7,2
69,4,1
69,7,1
70,9,1
70,2,1
71,5,2
72,9,1
73,4,1
73,3,1
74,9,1
75,5,2
75,1,2
75,2,2
76,1,2
76,4,2
76,5,2
77,4,2
77,8,2
78,8,4
79,5,2
79,9,2
80,6,1
80,3,1
80,5,1
81,9,1
82,3,2
82,1,2
82,9,2
83,5,1
84,8,2
84,2,2
84,1,2
85,9,1
86,7,1
87,6,2
88,2,1
88,3,1
89,1,2
90,1,1
91,7,1
92,8,2
93,7,1
94,5,2
94,8,2
94,9,2
95,6,1
96,7,2
97,8,2
98,4,2
99,5,2
99,6,2
100,3,1
100,9,1
101,9,1
102,5,2
103,1,2
104,1,1
105,1,2
106,3,2
106,6,2
107,1,2
107,3,2
108,7,1
108,3,1
109,3,1
109,4,1
110,3,1
110,7,1
111,3,1
112,3,2
112,8,2
112,1,2
113,9,1
113,6,1
113,7,1
114,4,1
114,1,1
115,6,2
115,7,2
116,8,3
117,6,2
117,5,2
118,4,2
118,8,2
118,5,2
119,1,2
119,8,2
119,9,2
