item_id,machine_type,max_production_limit
0,1,2
0,3,2
1,5,1
1,1,1
1,4,1
2,4,2
2,1,2
2,9,2
3,4,2
3,8,2
4,6,1
4,7,1
5,6,1
5,5,1
5,9,1
6,5,1
6,2,1
7,4,1
7,7,1
7,8,1
8,7,1
9,3,2
9,1,2
9,6,2
10,2,1
11,2,1
11,6,1
12,5,1
12,8,1
13,3,1
13,4,1
13,8,1
14,6,1
15,8,1
15,5,1
16,6,1
16,5,1
17,8,3
18,3,1
18,4,1
19,8,1
20,9,1
20,6,1
21,5,2
22,7,2
22,9,2
23,1,2
24,2,1
25,1,1
25,7,1
26,8,1
26,4,1
27,2,4
28,1,1
28,7,1
28,9,1
29,3,2
29,2,2
30,5,2
30,8,2
30,3,2
31,4,1
32,6,1
32,2,1
33,9,1
34,2,1
34,8,1
34,3,1
35,1,1
36,9,1
37,7,1
37,2,1
38,2,1
38,3,1
38,6,1
39,1,2
39,9,2
40,4,1
40,5,1
40,9,1
41,9,2
41,4,2
42,3,1
43,1,2
44,7,2
45,3,2
45,5,2
46,2,2
47,4,1
47,7,1
47,1,1
48,6,1
48,7,1
48,1,1
49,4,4
49,5,4
50,3,1
50,1,1
51,8,1
52,2,1
53,9,1
54,1,1
55,9,2
55,4,2
56,1,1
57,3,1
57,6,1
58,4,2
58,1,2
59,8,1
59,2,1
60,1,1
61,3,2
62,3,2
62,8,2
63,9,3
63,6,3
64,1,2
64,2,2
65,1,2
65,9,2
66,7,2
66,8,2
67,4,1
67,9,1
67,2,1
68,9,1
69,3,3
70,9,3
70,5,3
71,5,1
71,1,1
71,9,1
72,9,2
73,7,3
73,2,3
74,1,1
75,9,1
76,1,1
76,9,1
77,9,1
77,8,1
78,2,2
78,4,2
78,8,2
79,2,2
80,9,1
80,7,1
81,4,1
81,1,1
81,3,1
82,4,1
82,9,1
83,5,1
83,4,1
84,2,1
85,5,1
85,3,1
86,2,2
86,4,2
87,4,1
88,9,1
89,4,1
89,7,1
90,4,2
91,1,1
91,8,1
92,1,1
92,5,1
92,7,1
93,4,1
94,3,2
94,4,2
95,5,1
95,4,1
96,6,2
96,9,2
96,7,2
97,1,1
98,2,1
98,3,1
99,1,1
99,6,1
