item_id,machine_type,max_production_limit
0,14,3
1,11,1
2,6,3
2,1,3
3,12,1
4,10,4
4,6,4
5,5,2
5,12,2
6,7,4
7,1,2
8,11,2
8,7,2
9,12,2
10,14,4
11,13,2
12,10,2
13,1,2
13,10,2
14,7,1
14,9,1
15,14,3
15,13,3
15,10,3
16,2,1
16,8,1
17,5,4
18,14,1
19,7,2
20,5,4
20,4,4
21,6,1
21,10,1
21,4,1
22,5,2
23,10,3
24,11,2
24,12,2
24,5,2
25,5,1
25,2,1
26,13,1
26,14,1
27,14,4
27,3,4
28,9,3
29,4,2
30,12,2
30,1,2
31,1,1
32,12,3
32,8,3
32,4,3
33,11,4
34,6,3
35,7,1
36,2,3
36,6,3
37,14,1
38,9,3
38,8,3
39,3,2
40,8,1
41,6,1
42,3,2
42,12,2
43,13,2
43,2,2
44,8,1
44,13,1
45,11,2
45,12,2
46,1,2
47,4,2
48,1,2
48,3,2
49,11,3
49,3,3
50,5,1
51,13,1
52,2,1
53,3,1
54,5,1
55,13,1
56,11,4
57,5,1
57,6,1
58,14,1
59,10,2
60,2,2
61,1,2
61,12,2
62,4,2
62,2,2
63,6,1
64,10,2
65,4,1
65,3,1
65,12,1
66,14,1
66,9,1
66,8,1
67,2,4
68,10,1
69,9,1
70,6,1
71,2,2
72,5,1
72,13,1
73,8,4
73,10,4
74,8,1
74,2,1
75,13,2
76,10,2
77,3,1
78,9,1
78,3,1
78,6,1
79,8,3
80,11,1
80,3,1
81,3,1
82,2,1
82,5,1
83,11,1
84,3,2
84,10,2
85,13,2
85,11,2
86,10,1
86,14,1
87,3,2
88,6,3
89,11,2
89,9,2
90,7,3
91,8,3
91,7,3
92,7,2
93,2,2
93,4,2
94,3,1
94,8,1
95,13,1
96,2,4
96,12,4
97,1,2
97,14,2
98,6,3
99,13,2
