machine_id,supplier_id,month,planned_capacity,machine_type
0,0,0,167,7
0,0,1,59,7
0,0,2,49,7
0,0,3,39,7
1,0,0,186,3
1,0,1,148,3
1,0,2,36,3
1,0,3,198,3
2,0,0,69,11
2,0,1,12,11
2,0,2,85,11
2,0,3,141,11
3,0,0,27,7
3,0,1,143,7
3,0,2,51,7
3,0,3,47,7
4,1,0,164,12
4,1,1,110,12
4,1,2,195,12
4,1,3,121,12
5,1,0,143,8
5,1,1,216,8
5,1,2,101,8
5,1,3,29,8
6,1,0,30,13
6,1,1,25,13
6,1,2,39,13
6,1,3,198,13
7,2,0,56,9
7,2,1,30,9
7,2,2,107,9
7,2,3,135,9
8,2,0,127,7
8,2,1,94,7
8,2,2,28,7
8,2,3,130,7
9,2,0,133,6
9,2,1,91,6
9,2,2,187,6
9,2,3,92,6
10,2,0,103,2
10,2,1,172,2
10,2,2,121,2
10,2,3,78,2
11,3,0,33,12
11,3,1,178,12
11,3,2,104,12
11,3,3,84,12
12,3,0,34,10
12,3,1,46,10
12,3,2,128,10
12,3,3,27,10
13,4,0,89,3
13,4,1,219,3
13,4,2,79,3
13,4,3,38,3
14,4,0,20,13
14,4,1,114,13
14,4,2,177,13
14,4,3,23,13
15,4,0,74,4
15,4,1,81,4
15,4,2,207,4
15,4,3,47,4
16,4,0,34,12
16,4,1,100,12
16,4,2,78,12
16,4,3,168,12
17,5,0,10,9
17,5,1,52,9
17,5,2,212,9
17,5,3,63,9
18,5,0,183,4
18,5,1,127,4
18,5,2,62,4
18,5,3,30,4
19,5,0,72,4
19,5,1,148,4
19,5,2,54,4
19,5,3,100,4
20,5,0,209,1
20,5,1,124,1
20,5,2,59,1
20,5,3,43,1
21,6,0,87,0
21,6,1,112,0
21,6,2,157,0
21,6,3,79,0
22,6,0,33,3
22,6,1,115,3
22,6,2,18,3
22,6,3,33,3
23,6,0,131,14
23,6,1,135,14
23,6,2,199,14
23,6,3,85,14
24,7,0,62,15
24,7,1,62,15
24,7,2,214,15
24,7,3,141,15
25,7,0,163,2
25,7,1,66,2
25,7,2,144,2
25,7,3,188,2
26,7,0,190,4
26,7,1,43,4
26,7,2,27,4
26,7,3,84,4
27,7,0,149,5
27,7,1,21,5
27,7,2,111,5
27,7,3,61,5
28,8,0,70,15
28,8,1,55,15
28,8,2,102,15
28,8,3,36,15
29,8,0,133,9
29,8,1,34,9
29,8,2,22,9
29,8,3,58,9
30,8,0,217,8
30,8,1,73,8
30,8,2,161,8
30,8,3,14,8
31,8,0,201,9
31,8,1,21,9
31,8,2,204,9
31,8,3,28,9
32,9,0,74,2
32,9,1,105,2
32,9,2,22,2
32,9,3,202,2
33,9,0,138,5
33,9,1,158,5
33,9,2,37,5
33,9,3,130,5
34,9,0,44,10
34,9,1,158,10
34,9,2,73,10
34,9,3,91,10
35,9,0,101,5
35,9,1,214,5
35,9,2,186,5
35,9,3,86,5
