item_id,machine_type,max_production_limit
0,9,1
0,7,1
1,3,2
1,7,2
2,7,1
3,7,2
3,2,2
3,5,2
4,1,1
5,5,1
5,2,1
6,5,1
6,6,1
7,4,1
8,9,2
8,4,2
8,2,2
9,7,2
9,8,2
9,6,2
10,8,1
10,7,1
10,6,1
11,4,1
11,7,1
11,8,1
12,1,1
12,8,1
12,2,1
13,5,1
13,8,1
14,9,1
14,3,1
14,4,1
15,7,3
16,2,1
16,9,1
17,6,1
18,9,1
18,8,1
19,4,1
19,1,1
20,2,2
20,9,2
21,2,1
22,6,2
22,8,2
23,8,2
24,8,1
24,4,1
25,8,2
26,5,1
27,6,1
27,1,1
27,7,1
28,3,1
29,5,2
29,8,2
29,9,2
30,5,1
31,4,1
32,1,1
32,6,1
33,8,1
33,1,1
34,1,1
34,9,1
35,3,1
36,7,1
36,3,1
37,6,1
37,3,1
38,6,4
39,5,2
39,3,2
40,5,1
40,7,1
40,4,1
41,3,1
41,7,1
42,4,2
43,8,1
43,9,1
44,9,2
45,9,1
46,7,1
46,4,1
47,4,1
47,6,1
47,5,1
48,4,1
49,8,2
50,7,1
50,1,1
51,9,1
52,7,2
53,4,1
53,1,1
54,6,1
55,9,1
56,7,1
56,1,1
57,1,2
57,3,2
58,5,1
58,9,1
59,6,1
59,1,1
60,6,2
60,2,2
60,7,2
61,5,1
61,3,1
62,2,1
62,8,1
63,1,3
63,8,3
64,4,1
64,2,1
65,8,2
65,3,2
65,1,2
66,9,2
67,9,2
67,1,2
67,6,2
68,4,1
69,6,1
69,7,1
70,4,1
70,3,1
71,6,2
71,9,2
72,4,1
72,8,1
72,6,1
73,4,1
73,7,1
74,6,2
74,7,2
74,8,2
75,1,2
76,4,1
77,8,3
77,9,3
78,1,1
78,5,1
78,3,1
79,4,1
79,5,1
79,2,1
80,6,2
81,9,1
81,4,1
82,6,2
82,5,2
83,4,2
84,8,1
84,4,1
85,2,3
85,6,3
86,7,1
86,1,1
87,9,1
88,5,2
89,8,1
89,9,1
89,2,1
90,3,1
91,1,1
92,1,1
92,3,1
93,2,2
93,3,2
94,6,2
95,5,1
95,8,1
95,4,1
96,4,1
96,1,1
97,1,3
98,8,1
99,3,1
99,4,1
