item_id,machine_type,max_production_limit
0,1,3
0,5,3
0,14,3
1,7,1
2,14,2
3,10,2
4,12,4
4,1,4
5,9,1
6,1,2
6,10,2
7,13,2
8,4,2
8,8,2
8,5,2
9,3,2
10,14,1
10,7,1
11,14,2
11,9,2
12,8,2
12,2,2
13,9,1
14,4,1
14,5,1
15,5,1
16,4,1
16,6,1
16,12,1
17,11,1
17,5,1
17,1,1
18,12,2
18,9,2
19,14,2
20,11,1
20,9,1
21,14,2
22,6,3
22,10,3
23,3,1
23,10,1
24,1,2
24,6,2
24,12,2
25,2,2
25,9,2
26,9,2
26,11,2
27,13,2
27,2,2
28,2,1
29,10,4
30,9,2
31,4,3
31,13,3
32,12,1
33,9,1
33,4,1
34,10,1
35,13,3
36,13,3
37,9,3
37,5,3
38,3,2
39,8,1
39,4,1
40,12,1
40,5,1
41,12,1
41,5,1
42,11,1
43,5,3
43,1,3
43,13,3
44,2,2
44,1,2
44,10,2
45,1,3
46,1,2
47,3,1
48,7,1
48,14,1
48,10,1
49,13,2
50,1,1
50,7,1
51,14,1
51,3,1
52,12,1
53,3,2
53,2,2
53,1,2
54,9,1
54,14,1
55,4,2
56,9,1
56,5,1
57,9,1
58,14,2
59,6,1
60,10,4
60,14,4
61,8,2
61,3,2
62,11,3
62,1,3
63,8,1
63,9,1
63,10,1
64,2,1
64,4,1
65,2,1
65,6,1
66,6,1
66,8,1
67,8,2
67,5,2
68,7,1
68,13,1
68,2,1
69,9,1
70,6,4
71,1,1
71,14,1
72,6,1
73,8,2
74,4,2
75,5,2
75,2,2
76,8,1
76,4,1
76,1,1
77,6,1
77,4,1
78,6,2
78,8,2
79,2,3
79,3,3
80,2,4
80,12,4
81,5,1
81,8,1
81,7,1
82,10,2
82,3,2
82,4,2
83,6,4
84,3,1
84,10,1
85,1,4
85,7,4
86,6,1
86,2,1
87,12,2
88,4,4
89,14,2
90,11,1
90,2,1
91,11,2
92,7,2
92,12,2
92,10,2
93,5,2
94,5,2
94,11,2
95,2,2
95,7,2
96,12,1
96,5,1
97,7,2
97,5,2
98,12,1
99,4,2
99,2,2
99,10,2
