item_id,machine_type,max_production_limit
0,8,2
0,7,2
1,8,1
1,5,1
2,1,1
2,2,1
3,6,1
3,3,1
4,6,1
4,8,1
4,9,1
5,8,1
5,3,1
6,4,2
7,3,1
7,7,1
7,5,1
8,8,1
8,5,1
9,9,1
10,6,1
11,6,2
11,4,2
11,3,2
12,5,2
12,6,2
13,6,2
13,7,2
14,3,1
14,8,1
15,2,2
16,4,1
16,7,1
17,6,1
18,1,1
18,6,1
19,3,2
20,9,2
20,7,2
21,8,1
21,1,1
22,2,3
22,4,3
22,8,3
23,4,1
23,3,1
24,4,4
24,1,4
25,4,1
26,4,1
27,1,1
27,6,1
28,6,1
28,1,1
28,2,1
29,4,1
29,2,1
30,6,3
30,1,3
30,4,3
31,2,1
31,5,1
31,9,1
32,2,2
33,5,2
33,1,2
34,3,1
34,2,1
35,6,3
35,8,3
36,9,1
36,2,1
36,4,1
37,5,1
37,7,1
38,3,4
38,1,4
39,5,2
40,1,2
41,1,1
41,8,1
42,2,2
43,7,1
44,9,2
44,5,2
45,3,1
46,1,2
46,6,2
46,2,2
47,5,1
48,4,2
48,8,2
48,6,2
49,8,1
49,6,1
50,4,2
51,6,1
52,5,1
52,2,1
53,3,1
53,6,1
53,8,1
54,7,1
54,9,1
55,9,2
56,7,1
57,7,2
57,9,2
58,6,1
59,8,1
59,9,1
60,4,1
60,5,1
61,1,3
61,6,3
62,5,1
63,7,1
64,6,1
64,4,1
65,1,2
65,3,2
65,5,2
66,5,1
67,9,2
67,6,2
68,9,1
68,8,1
69,2,1
69,7,1
70,4,2
70,6,2
71,1,1
71,3,1
72,5,1
73,4,2
73,6,2
74,4,2
75,7,3
76,3,3
76,8,3
77,7,1
77,3,1
77,9,1
78,8,1
79,5,2
79,4,2
80,3,2
81,1,2
82,6,1
82,3,1
82,9,1
83,5,2
83,8,2
84,9,1
84,5,1
85,6,3
85,9,3
86,1,1
86,2,1
86,5,1
87,2,1
88,4,1
89,8,2
89,3,2
90,9,1
90,4,1
91,4,2
91,8,2
92,9,2
93,7,2
93,1,2
94,5,1
94,2,1
95,1,4
95,2,4
95,6,4
96,3,1
96,8,1
97,9,2
98,9,2
98,6,2
98,2,2
99,7,1
99,5,1
99,4,1
