item_id,machine_type,max_production_limit
0,5,1
0,3,1
0,1,1
1,9,2
1,2,2
2,6,4
2,3,4
2,5,4
3,5,1
4,6,1
5,5,1
6,1,2
6,9,2
7,3,1
7,1,1
7,8,1
8,8,2
9,8,2
10,6,2
10,9,2
10,8,2
11,1,1
11,7,1
11,6,1
12,7,1
13,3,1
13,4,1
14,3,1
14,9,1
14,8,1
15,6,1
15,2,1
15,8,1
16,5,1
16,8,1
17,3,1
17,8,1
17,7,1
18,1,2
19,9,2
19,3,2
20,6,2
20,1,2
21,2,4
21,9,4
22,7,1
23,1,2
24,3,1
25,1,1
25,3,1
25,9,1
26,7,1
26,1,1
27,3,2
27,1,2
28,8,1
28,3,1
29,8,1
30,9,1
30,5,1
31,6,1
32,6,1
32,5,1
33,7,2
34,7,1
34,2,1
35,7,1
36,5,1
37,6,2
37,3,2
38,5,1
38,2,1
38,7,1
39,2,2
40,4,1
40,8,1
40,1,1
41,4,1
42,4,2
43,1,3
43,4,3
43,8,3
44,3,1
45,1,1
46,2,3
46,3,3
47,2,2
48,6,2
48,4,2
49,4,1
50,3,1
50,5,1
50,2,1
51,9,1
52,4,1
52,3,1
53,8,1
54,1,1
54,7,1
54,5,1
55,7,2
56,9,1
56,6,1
56,5,1
57,5,1
57,1,1
58,5,1
58,2,1
58,9,1
59,1,2
59,9,2
60,1,1
61,1,3
61,6,3
62,3,1
62,4,1
63,6,2
64,8,1
65,9,1
66,5,1
66,1,1
66,9,1
67,8,2
67,1,2
68,9,4
68,6,4
69,1,1
70,5,1
71,1,1
71,7,1
72,4,1
72,9,1
73,5,2
73,3,2
73,8,2
74,2,1
74,7,1
74,8,1
75,6,2
75,2,2
76,2,1
77,7,2
78,2,1
78,8,1
79,2,2
79,5,2
80,5,1
81,3,1
82,1,4
83,2,1
84,2,1
85,5,1
86,9,2
86,4,2
87,5,1
87,1,1
87,6,1
88,3,2
88,5,2
89,2,2
89,6,2
90,6,1
90,9,1
91,1,1
92,8,2
92,4,2
93,9,2
93,3,2
94,4,2
95,1,1
95,2,1
95,8,1
96,5,2
96,2,2
97,8,2
97,4,2
98,5,2
98,6,2
98,8,2
99,5,2
99,9,2
