order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893399789581,208123121201,针织,1,2022-08-01,2023-09-23,3
1575328893416566803,208123121201,针织,1,2022-08-01,2023-09-23,3
1575328893437538309,200123100102,针织,1,2022-08-01,2023-11-28,3
1575328893441732613,200123105108,针织,1,2022-08-01,2023-11-28,3
1575328893441732614,200123105108,针织,1,2022-08-01,2023-12-05,7
1575328893441732615,200123105108,针织,1,2022-08-01,2023-11-28,1
1575328893441732616,200123105108,针织,1,2022-08-01,2023-11-28,1
1575328893441732619,200123100102,针织,1,2022-08-01,2023-12-05,8
1575328893471092746,200123108002,针织,1,2022-08-01,2023-10-31,4
1575328893471092747,200123108002,针织,1,2022-08-01,2023-11-14,2
1575328893517230081,202123105201,针织,1,2022-08-01,2023-11-28,4
1575328893517230083,202123105201,针织,2,2022-08-01,2023-12-05,13
1575328893517230084,202123105201,针织,1,2022-08-01,2023-11-28,1
1575328899615748114,202123100102,针织,1,2022-08-01,2023-11-28,6
1575328899615748115,202123100102,针织,1,2022-08-01,2023-12-20,21
1575328899615748116,202123100102,针织,1,2022-08-01,2023-11-28,1
1575328899657691147,200123120109,针织,1,2022-08-01,2023-11-28,3
1575328899779325963,208123133201,针织,1,2022-08-01,2023-11-02,6
1575328899779325964,208123133201,针织,1,2022-08-01,2023-11-30,9
1575328899779325965,208123133201,针织,1,2022-08-01,2023-12-21,6
1575328899779325966,208123133201,针织,1,2022-08-01,2023-12-23,9
1575328899791908875,208123121105,针织,1,2022-08-01,2023-11-21,2
1575328899791908876,208123121105,针织,1,2022-08-01,2023-12-19,2
1575328899791908877,208123121105,针织,1,2022-08-01,2023-12-23,2
1575328899791908878,208123121105,针织,1,2022-08-01,2024-02-11,2
1580387529918574595,208123120101,针织,1,2022-08-01,2023-10-06,5
1580387529918574602,208123120101,针织,1,2022-08-01,2023-09-23,5
