item_id,machine_type,max_production_limit
0,2,2
1,2,1
2,14,1
3,5,2
3,12,2
4,13,2
5,9,1
6,1,3
7,12,2
7,9,2
8,14,2
9,11,2
9,8,2
10,9,1
11,11,1
12,14,4
12,1,4
13,6,4
14,9,1
15,6,2
15,5,2
16,3,1
16,10,1
16,1,1
17,7,1
18,8,4
19,7,1
20,6,1
20,1,1
21,12,2
21,1,2
21,13,2
22,6,2
22,5,2
23,12,1
23,10,1
24,13,1
24,7,1
25,6,2
25,1,2
26,8,2
27,5,2
27,2,2
28,6,3
29,9,1
30,12,1
30,4,1
31,8,2
32,14,1
33,11,2
33,14,2
34,11,1
34,13,1
35,9,2
35,10,2
36,13,1
37,13,1
38,12,2
38,11,2
39,8,3
40,4,1
41,9,2
41,11,2
42,3,1
43,11,1
43,6,1
44,14,1
44,7,1
45,9,1
46,2,4
47,7,2
47,6,2
48,11,1
49,3,2
50,7,3
50,2,3
50,4,3
51,3,2
52,1,1
53,7,1
54,12,1
55,8,2
55,14,2
56,4,3
56,13,3
57,14,1
57,7,1
57,2,1
58,14,2
59,12,1
59,10,1
60,10,1
60,12,1
61,9,1
62,13,1
62,9,1
63,11,1
63,8,1
63,5,1
64,11,1
65,2,2
66,3,1
67,1,1
68,8,1
68,10,1
69,1,2
69,6,2
70,10,2
71,3,4
72,7,2
72,1,2
73,6,2
74,9,2
75,11,1
76,12,2
77,11,1
77,9,1
78,1,1
79,10,2
79,2,2
80,10,3
80,4,3
81,4,2
82,8,1
82,2,1
83,5,2
83,13,2
84,4,1
84,3,1
84,7,1
85,14,2
86,8,3
86,1,3
86,10,3
87,2,2
87,12,2
88,12,1
89,1,3
90,8,1
91,11,1
92,6,1
92,10,1
93,3,2
94,13,2
94,1,2
95,4,1
95,6,1
96,13,1
96,9,1
97,5,3
97,13,3
98,12,1
98,4,1
99,12,3
99,14,3
