item_id,machine_type,max_production_limit
0,7,2
0,4,2
1,3,1
1,4,1
2,1,1
3,3,3
3,7,3
4,6,1
5,4,1
5,2,1
5,3,1
6,2,3
7,9,1
8,2,1
9,3,2
9,4,2
10,4,1
11,9,2
12,4,1
12,5,1
12,3,1
13,4,1
13,5,1
13,9,1
14,4,1
14,1,1
14,5,1
15,5,1
16,5,2
16,4,2
17,7,2
18,5,1
18,7,1
19,4,1
19,1,1
20,2,1
21,1,1
21,5,1
22,3,1
23,4,1
24,8,1
24,1,1
24,3,1
25,3,1
25,8,1
26,8,1
26,2,1
27,8,1
27,5,1
28,1,1
28,7,1
29,2,1
29,9,1
30,3,2
30,1,2
31,6,1
31,9,1
32,2,4
33,9,2
34,4,2
34,7,2
35,9,2
36,2,2
36,9,2
37,6,1
37,5,1
37,9,1
38,1,1
39,5,3
39,3,3
40,3,2
41,7,1
42,6,2
42,1,2
43,3,1
44,3,1
44,4,1
45,3,1
45,4,1
46,5,2
47,7,1
47,1,1
48,7,1
48,8,1
49,5,2
49,3,2
50,6,1
51,4,1
51,8,1
52,6,2
52,2,2
53,1,2
54,6,1
55,1,1
56,2,1
57,8,1
57,2,1
58,9,1
59,5,1
60,1,2
60,2,2
61,6,4
62,6,1
63,5,1
63,3,1
63,9,1
64,3,2
64,6,2
65,2,1
66,8,1
67,7,2
68,5,1
69,5,4
70,5,2
71,6,1
71,2,1
72,6,1
72,5,1
73,2,1
73,8,1
74,8,1
74,2,1
75,8,1
75,6,1
76,1,2
76,9,2
77,2,1
78,5,2
79,3,1
80,5,1
81,9,1
81,3,1
82,6,2
83,1,2
84,7,1
84,8,1
85,8,2
85,5,2
86,5,2
86,2,2
87,1,2
88,8,2
88,9,2
88,6,2
89,6,1
89,3,1
90,8,1
90,4,1
91,5,1
91,6,1
92,5,4
92,1,4
93,7,2
94,4,1
94,7,1
95,7,3
96,2,1
96,3,1
96,1,1
97,4,3
98,1,1
98,3,1
98,2,1
99,4,1
