,name,item_num,order_num,supplier_num,machine_num,objVal,Runtime,Gap,is_correct,finished_item_num,finished_order_num,pool_1,pool_2,pool_3,pool_4,pool_5
0,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1
1,9,100,292,10,20,43576.62942504043,14.670103073120117,0.00%,检查正确,68,188,战略_的平均产能规划达成率为_0.4442,核心_的平均产能规划达成率为_0.4950,合格_的平均产能规划达成率为_0.4578,培养_的平均产能规划达成率为_0.4551,观察_的平均产能规划达成率为_0.4558
2,0,100,303,9,29,30530.648482074335,617.6970210075378,0.00%,检查正确,84,236,战略_的平均产能规划达成率为_0.5532,核心_的平均产能规划达成率为_0.4933,合格_的平均产能规划达成率为_0.3048,培养_的平均产能规划达成率为_0.5479,观察_的平均产能规划达成率为_0.3200
3,7,100,294,10,29,19775.316460597343,442.5196781158447,0.00%,检查正确,87,250,战略_的平均产能规划达成率为_0.3654,核心_的平均产能规划达成率为_0.4390,合格_的平均产能规划达成率为_0.3449,培养_的平均产能规划达成率为_0.3721,观察_的平均产能规划达成率为_0.3651
4,6,100,308,10,27,35838.09011758497,27.180362939834595,0.00%,检查正确,79,232,战略_的平均产能规划达成率为_0.4210,核心_的平均产能规划达成率为_0.3844,合格_的平均产能规划达成率为_0.3222,培养_的平均产能规划达成率为_0.3707,观察_的平均产能规划达成率为_0.3164
5,1,100,308,9,24,35792.826041324835,100.50252914428711,0.00%,检查正确,79,226,战略_的平均产能规划达成率为_0.5085,核心_的平均产能规划达成率为_0.5553,合格_的平均产能规划达成率为_0.2652,培养_的平均产能规划达成率为_0.3632,
6,8,100,334,10,28,29332.492627983112,331.30741906166077,0.00%,检查正确,84,266,核心_的平均产能规划达成率为_0.5407,培养_的平均产能规划达成率为_0.5006,,,
7,4,100,306,10,17,43320.62273011553,178.64214706420898,0.00%,检查正确,72,205,核心_的平均产能规划达成率为_0.5808,合格_的平均产能规划达成率为_0.4256,培养_的平均产能规划达成率为_0.5067,观察_的平均产能规划达成率为_0.3406,
8,3,100,311,10,20,47720.70123970849,3674.5960080623627,0.134785,检查正确,70,200,战略_的平均产能规划达成率为_0.5388,核心_的平均产能规划达成率为_0.5953,合格_的平均产能规划达成率为_0.5545,观察_的平均产能规划达成率为_0.2141,
9,2,100,303,9,19,44240.11588278212,838.0343821048737,0.000933,检查正确,71,200,战略_的平均产能规划达成率为_0.4851,核心_的平均产能规划达成率为_0.4857,合格_的平均产能规划达成率为_0.4900,观察_的平均产能规划达成率为_0.4843,
10,5,100,302,10,23,29996.427241267884,1112.33407497406,0.000881,检查正确,79,232,战略_的平均产能规划达成率为_0.5472,核心_的平均产能规划达成率为_0.5365,培养_的平均产能规划达成率为_0.5591,观察_的平均产能规划达成率为_0.5029,
