item_id,machine_type,max_production_limit
0,7,1
1,3,1
1,9,1
2,1,1
2,7,1
3,5,1
3,2,1
4,9,1
5,6,2
6,1,1
6,9,1
7,5,1
7,3,1
8,8,2
8,5,2
9,3,2
10,6,1
10,2,1
11,8,2
11,5,2
12,6,2
12,7,2
12,8,2
13,8,1
13,6,1
14,5,2
14,8,2
15,4,2
15,1,2
16,5,1
16,2,1
17,2,1
18,7,1
18,6,1
19,4,1
20,5,3
21,4,2
22,6,2
23,3,1
23,6,1
24,6,2
24,9,2
25,6,2
26,7,2
27,9,2
27,8,2
28,4,1
29,6,1
29,5,1
30,6,1
31,9,2
32,8,1
32,7,1
32,3,1
33,5,2
33,2,2
34,1,1
35,6,2
36,8,1
36,4,1
36,5,1
37,3,2
38,1,1
39,2,1
39,7,1
40,6,2
40,8,2
40,7,2
41,8,2
42,2,1
43,2,1
44,5,2
44,6,2
44,2,2
45,3,1
45,4,1
46,5,1
46,7,1
47,1,1
47,3,1
48,5,2
48,6,2
49,9,2
49,8,2
50,6,2
50,5,2
50,2,2
51,9,1
52,7,1
52,3,1
53,9,2
53,6,2
54,2,2
54,5,2
55,5,1
56,2,2
57,7,1
57,5,1
57,6,1
58,7,1
59,7,2
59,5,2
59,3,2
60,7,2
61,5,1
61,7,1
61,8,1
62,5,1
62,6,1
63,2,1
63,8,1
63,7,1
64,2,1
65,9,2
66,4,1
67,9,2
68,7,2
69,4,1
69,8,1
70,6,2
70,7,2
71,5,2
72,3,4
72,4,4
72,1,4
73,9,1
73,8,1
74,4,1
74,5,1
74,6,1
75,4,1
75,6,1
76,6,1
77,9,2
78,5,1
78,9,1
78,3,1
79,9,1
80,3,1
80,1,1
81,1,1
82,5,1
82,8,1
83,3,2
83,2,2
84,6,1
84,5,1
84,7,1
85,8,2
85,6,2
85,3,2
86,7,2
87,3,1
87,9,1
88,7,1
89,3,1
89,5,1
90,9,1
91,7,2
92,6,1
92,4,1
93,9,1
94,2,1
94,9,1
95,7,1
95,2,1
96,9,1
96,4,1
97,7,1
98,5,1
98,4,1
99,3,1
99,6,1
99,1,1
