item_id,machine_type,max_production_limit
0,8,1
0,2,1
0,5,1
1,9,1
1,6,1
1,7,1
2,7,2
3,3,2
4,8,2
5,3,1
6,8,1
6,1,1
7,5,1
8,6,1
8,3,1
9,2,1
10,3,1
10,8,1
10,1,1
11,8,1
11,4,1
12,3,1
12,4,1
13,6,2
14,7,1
14,9,1
14,2,1
15,2,2
15,8,2
15,5,2
16,8,2
17,9,2
17,2,2
18,9,2
19,3,1
19,1,1
19,5,1
20,1,1
20,9,1
21,1,1
21,5,1
22,5,3
22,7,3
23,9,2
23,6,2
24,5,1
25,5,3
26,7,1
27,1,1
28,4,1
28,6,1
29,6,1
30,8,1
30,1,1
30,3,1
31,8,1
31,4,1
31,1,1
32,8,2
32,4,2
32,2,2
33,1,1
34,9,1
34,4,1
35,6,1
36,7,1
37,6,1
37,1,1
38,6,3
39,8,1
39,2,1
40,4,1
41,4,1
41,3,1
42,7,1
42,8,1
43,8,1
43,9,1
43,2,1
44,4,1
44,9,1
45,3,2
46,6,2
46,7,2
47,1,4
47,4,4
48,9,1
48,2,1
49,3,1
50,6,1
50,4,1
50,3,1
51,1,2
51,8,2
52,2,1
52,6,1
53,1,1
54,1,1
54,4,1
54,6,1
55,1,1
56,2,1
56,1,1
57,4,1
57,8,1
58,3,1
58,1,1
59,5,1
59,6,1
59,7,1
60,6,1
61,8,1
62,3,1
62,1,1
63,7,2
63,8,2
63,1,2
64,6,2
65,1,2
66,7,3
66,8,3
66,3,3
67,5,1
67,1,1
68,1,1
68,4,1
68,6,1
69,6,2
69,3,2
70,7,2
71,2,1
72,1,1
72,3,1
73,4,1
74,1,2
74,3,2
75,9,1
75,4,1
76,9,1
77,2,2
77,8,2
78,6,1
78,8,1
79,8,1
79,7,1
79,3,1
80,5,1
81,6,1
81,8,1
81,2,1
82,9,1
82,4,1
83,6,1
83,1,1
83,5,1
84,9,1
84,8,1
85,3,1
85,4,1
86,1,1
86,7,1
87,8,1
88,5,2
88,7,2
89,9,2
89,2,2
89,4,2
90,1,2
91,2,1
91,8,1
92,9,2
92,6,2
93,4,2
94,1,1
95,2,1
95,9,1
95,5,1
96,9,1
97,1,1
98,9,1
99,4,2
99,8,2
99,3,2
