id,plan_type,physical_supplier_id,month,occupation_target,occupation_target_adjust_ratio,create_time,update_time
1611974322858029073,1,0003000000,2022-07,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029074,1,0003000000,2022-08,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029064,1,0003000000,2022-09,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029065,1,0003000000,2022-10,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029067,1,0003000000,2022-11,0.74,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029069,1,0003000000,2022-12,0.72,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029066,1,0003000000,2023-01,0.735,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029068,1,0003000000,2023-02,0.719,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029070,1,0003000000,2023-03,0.7,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029071,1,0003000000,2023-04,0.7,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029072,1,0003000000,2023-05,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029106,1,0003000001,2022-07,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029107,1,0003000001,2022-08,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029097,1,0003000001,2022-09,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029098,1,0003000001,2022-10,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029100,1,0003000001,2022-11,1.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029102,1,0003000001,2022-12,1.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029099,1,0003000001,2023-01,1.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029101,1,0003000001,2023-02,1.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029103,1,0003000001,2023-03,1.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029104,1,0003000001,2023-04,1.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322858029105,1,0003000001,2023-05,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322866417666,1,0003000019,2022-07,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322866417667,1,0003000019,2022-08,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
1611974322862223416,1,0003000019,2022-09,0.0,1.0,2023-01-08 14:33:22,2023-01-08 14:33:22
