id,plan_type,physical_supplier_id,importance,performance,valid,create_time,update_time
1569948730931605505,1,0003002095,观察,C,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605506,1,0003000288,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605507,1,0003000484,战略,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605508,1,0003000056,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605509,1,0003000088,培养,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605510,1,0003002081,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605511,1,0003002170,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605512,1,0003001226,核心,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605513,1,0003001209,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605514,1,0003002154,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605515,1,0003000185,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605516,1,0003002106,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605517,1,0003000000,战略,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605518,1,0003000097,核心,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605519,1,0003001764,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605520,1,0003000354,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605521,1,0003000924,战略,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605522,1,0003001782,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605523,1,0003001206,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605524,1,0003000686,合格,C,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605525,1,0003000974,合格,C,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605526,1,0003001693,合格,C,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605527,1,0003002230,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605528,1,0003000615,核心,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605529,1,0003000046,观察,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605530,1,0003002070,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605531,1,0003001150,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605532,1,0003000619,战略,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605533,1,0003000269,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605534,1,0003001239,合格,C,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605535,1,0003001235,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605536,1,0003001876,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605537,1,0003000610,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605538,1,0003000020,核心,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605539,1,0003000676,合格,D,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605540,1,0003001244,培养,D,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605541,1,0003002169,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605542,1,0003002204,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605543,1,0003000547,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605544,1,0003000040,战略,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605545,1,0003000064,核心,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605546,1,0003002040,观察,D,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605547,1,0003002122,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605548,1,0003000674,培养,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605549,1,0003001813,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605550,1,0003000169,观察,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605551,1,0003000584,培养,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605552,1,0003001644,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605553,1,0003000081,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605554,1,0003002160,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605555,1,0003000041,战略,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605556,1,0003000661,核心,C,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605557,1,0003001172,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605558,1,0003001864,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605559,1,0003001050,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605560,1,0003000566,核心,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605561,1,0003000617,合格,B,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605562,1,0003000629,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605563,1,0003001672,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605564,1,0003000301,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605565,1,0003000303,合格,A,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605566,1,0003001201,核心,C,1,2022-09-14 15:18:40,2023-01-08 14:33:19
1569948730931605567,1,0003002112,合格,C,1,2022-09-14 15:18:40,2023-01-08 14:33:19
