id,plan_type,demand_id,due_date,capacity_needed,valid,create_time,update_time
1611974309960544258,1,1585937125143015425,2023-02-20,2,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544259,1,1585937125143015426,2023-02-06,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544260,1,1585937125143015427,2023-02-13,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544261,1,1585937125143015428,2023-02-20,2,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544262,1,1585937125143015429,2023-02-13,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544263,1,1585937125147209730,2023-02-20,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544264,1,1585937125147209731,2023-02-27,2,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544265,1,1585937125147209732,2022-12-24,24,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544266,1,1585937125147209733,2023-02-13,16,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544267,1,1585937125147209734,2022-12-24,8,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544268,1,1585937125147209735,2023-02-13,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544269,1,1585937125147209736,2023-02-20,8,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544270,1,1585937125147209737,2023-03-06,8,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544271,1,1585937125147209738,2022-12-24,9,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309960544272,1,1585937125147209739,2023-02-13,17,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738562,1,1585937125147209740,2023-02-20,9,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738563,1,1585937125147209741,2023-03-06,9,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738564,1,1585937125147209742,2023-03-08,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738565,1,1585937125147209743,2023-03-25,5,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738566,1,1585937125147209744,2023-04-20,18,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738567,1,1585937125147209745,2023-02-18,5,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738568,1,1585937125151404033,2023-02-25,7,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738569,1,1585937125151404034,2023-03-04,7,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738570,1,1585937125151404035,2023-03-11,5,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738571,1,1585937125151404036,2023-03-11,21,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738572,1,1585937125151404037,2023-01-06,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738573,1,1585937125151404038,2023-02-11,8,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738574,1,1585937125151404039,2023-02-18,8,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738575,1,1585937125151404040,2023-02-25,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738576,1,1585937125151404041,2023-01-06,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738577,1,1585937125151404042,2023-02-11,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738578,1,1585937125151404043,2023-02-18,43,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738579,1,1585937125151404044,2023-02-25,29,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738580,1,1585937125151404045,2023-03-11,40,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738581,1,1585937125155598338,2023-01-06,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738582,1,1585937125155598339,2023-02-11,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738583,1,1585937125155598340,2023-02-18,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738584,1,1585937125155598341,2023-02-25,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738585,1,1585937125155598342,2023-03-11,69,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738586,1,1585937125155598343,2023-01-06,17,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738587,1,1585937125155598344,2023-02-11,26,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738588,1,1585937125155598345,2023-02-18,26,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738589,1,1585937125155598346,2023-02-25,17,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738590,1,1585937125155598347,2023-04-29,13,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738591,1,1585937125159792642,2023-02-18,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738592,1,1585937125159792643,2023-02-25,9,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738593,1,1585937125159792644,2023-03-04,9,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738594,1,1585937125159792645,2023-03-11,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738595,1,1585937125159792646,2023-04-20,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738596,1,1585937125159792647,2023-02-18,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738597,1,1585937125159792648,2023-02-25,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738598,1,1585937125159792649,2023-03-04,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738599,1,1585937125159792650,2023-03-11,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738600,1,1585937125159792651,2023-02-14,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738601,1,1585937125159792652,2023-02-21,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738602,1,1585937125159792653,2023-02-28,8,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738603,1,1585937125159792654,2023-03-23,9,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738604,1,1585937125163986945,2023-01-06,13,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738605,1,1585937125163986946,2023-02-11,20,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738606,1,1585937125163986947,2023-02-18,20,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738607,1,1585937125163986948,2023-02-25,13,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738608,1,1585937125163986949,2023-02-11,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738609,1,1585937125163986950,2023-02-18,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738610,1,1585937125163986951,2023-02-25,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738611,1,1585937125163986952,2023-03-04,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738612,1,1585937125163986953,2023-03-24,5,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738613,1,1585937125163986954,2023-01-06,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738614,1,1585937125163986955,2023-02-11,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738615,1,1585937125163986956,2023-02-18,5,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738616,1,1585937125163986957,2023-03-04,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738617,1,1585937125163986958,2023-03-22,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738618,1,1585937125168181249,2023-02-07,7,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738619,1,1585937125168181250,2023-02-14,7,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738620,1,1585937125168181251,2023-02-21,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738621,1,1585937125168181252,2023-01-06,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738622,1,1585937125168181253,2023-02-11,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738623,1,1585937125168181254,2023-02-18,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738624,1,1585937125168181255,2023-02-25,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738625,1,1585937125168181256,2023-01-06,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738626,1,1585937125168181257,2023-02-11,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738627,1,1585937125168181258,2023-02-18,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738628,1,1585937125168181259,2023-02-25,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738629,1,1585937125168181260,2023-02-11,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738630,1,1585937125168181261,2023-02-18,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309964738631,1,1585937125168181262,2023-02-25,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932865,1,1585937125168181263,2023-03-04,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932866,1,1585937125168181264,2023-02-11,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932867,1,1585937125168181265,2023-02-18,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932868,1,1585937125168181266,2023-02-25,15,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932869,1,1585937125168181267,2023-03-04,10,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932870,1,1585937125168181268,2023-02-14,12,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932871,1,1585937125168181269,2023-02-21,12,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932872,1,1585937125168181270,2023-02-28,6,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932873,1,1585937125168181271,2023-04-08,7,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932874,1,1585937125172375554,2023-02-11,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932875,1,1585937125172375555,2023-02-18,4,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932876,1,1585937125172375556,2023-02-25,2,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932877,1,1585937125172375557,2023-03-31,41,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932878,1,1585937125172375558,2023-01-02,25,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932879,1,1585937125172375559,2023-02-07,37,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932880,1,1585937125172375560,2023-02-14,37,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932881,1,1585937125172375561,2023-02-21,25,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932882,1,1585937125172375562,2023-03-22,5,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932883,1,1585937125176569857,2023-02-07,5,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932884,1,1585937125176569858,2023-02-14,5,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1611974309968932885,1,1585937125176569859,2023-02-21,3,1,2023-01-08 14:33:19,2023-01-08 14:33:19
