machine_id,supplier_id,month,planned_capacity,machine_type
0,0,0,27,8
0,0,1,80,8
0,0,2,50,8
0,0,3,76,8
1,0,0,150,2
1,0,1,91,2
1,0,2,90,2
1,0,3,81,2
2,0,0,39,7
2,0,1,79,7
2,0,2,188,7
2,0,3,161,7
3,0,0,112,5
3,0,1,12,5
3,0,2,44,5
3,0,3,208,5
4,1,0,98,8
4,1,1,204,8
4,1,2,44,8
4,1,3,138,8
5,2,0,181,2
5,2,1,23,2
5,2,2,218,2
5,2,3,60,2
6,2,0,37,7
6,2,1,40,7
6,2,2,126,7
6,2,3,139,7
7,3,0,59,5
7,3,1,127,5
7,3,2,37,5
7,3,3,23,5
8,3,0,131,6
8,3,1,35,6
8,3,2,73,6
8,3,3,141,6
9,3,0,193,8
9,3,1,171,8
9,3,2,26,8
9,3,3,16,8
10,3,0,183,3
10,3,1,72,3
10,3,2,90,3
10,3,3,79,3
11,4,0,31,6
11,4,1,58,6
11,4,2,94,6
11,4,3,35,6
12,5,0,98,9
12,5,1,208,9
12,5,2,65,9
12,5,3,215,9
13,6,0,93,7
13,6,1,103,7
13,6,2,32,7
13,6,3,29,7
14,7,0,170,4
14,7,1,44,4
14,7,2,12,4
14,7,3,43,4
15,7,0,90,3
15,7,1,13,3
15,7,2,102,3
15,7,3,51,3
16,7,0,23,4
16,7,1,40,4
16,7,2,25,4
16,7,3,160,4
17,8,0,59,1
17,8,1,186,1
17,8,2,99,1
17,8,3,115,1
18,9,0,211,1
18,9,1,70,1
18,9,2,77,1
18,9,3,33,1
19,9,0,102,0
19,9,1,27,0
19,9,2,129,0
19,9,3,84,0
20,10,0,95,9
20,10,1,177,9
20,10,2,189,9
20,10,3,81,9
21,10,0,136,2
21,10,1,93,2
21,10,2,54,2
21,10,3,21,2
22,11,0,171,9
22,11,1,208,9
22,11,2,61,9
22,11,3,40,9
23,11,0,127,4
23,11,1,122,4
23,11,2,172,4
23,11,3,86,4
