item_id,machine_type,max_production_limit
0,4,1
1,1,2
1,9,2
2,8,1
2,7,1
2,6,1
3,5,1
3,4,1
4,1,1
4,4,1
5,2,2
5,6,2
6,4,1
6,7,1
6,1,1
7,7,1
7,1,1
8,3,1
8,1,1
9,1,1
9,6,1
10,3,1
11,1,3
11,2,3
12,4,1
12,7,1
12,6,1
13,9,1
13,2,1
14,3,2
15,2,4
16,6,1
16,4,1
17,9,1
18,7,2
18,8,2
18,1,2
19,4,2
19,3,2
20,7,2
21,4,1
21,3,1
21,9,1
22,5,1
22,8,1
22,3,1
23,9,1
24,2,2
25,9,1
26,4,1
26,2,1
27,7,2
27,9,2
28,2,1
29,4,1
29,7,1
29,5,1
30,6,2
30,1,2
31,6,1
32,2,1
32,7,1
32,9,1
33,3,1
33,9,1
33,4,1
34,4,2
35,7,1
36,6,2
37,6,1
38,2,1
38,4,1
39,2,2
39,5,2
40,2,1
40,4,1
41,2,1
42,9,1
42,6,1
43,6,4
43,8,4
44,1,3
44,9,3
45,4,1
46,2,1
47,6,1
47,7,1
47,9,1
48,1,1
48,7,1
49,3,1
49,7,1
50,9,2
51,5,1
51,6,1
52,7,1
52,9,1
52,6,1
53,5,1
53,9,1
53,1,1
54,2,1
55,4,2
55,8,2
56,6,1
57,6,2
58,4,1
59,1,2
59,3,2
60,4,1
60,5,1
61,1,1
62,1,1
63,9,1
63,1,1
64,6,2
65,3,1
66,9,1
66,3,1
67,2,1
67,5,1
68,1,1
68,8,1
69,6,4
69,9,4
70,5,1
70,4,1
71,1,2
71,9,2
72,5,1
72,8,1
73,6,1
73,9,1
73,8,1
74,4,1
75,6,1
76,2,1
77,1,1
77,4,1
78,6,2
79,7,2
79,1,2
79,3,2
80,8,1
80,5,1
80,2,1
81,8,2
81,3,2
81,5,2
82,9,1
82,3,1
83,5,1
83,7,1
83,4,1
84,2,2
84,4,2
85,2,1
86,1,1
86,7,1
86,6,1
87,4,1
87,5,1
88,1,3
88,5,3
89,8,2
90,3,1
90,9,1
91,1,1
92,8,4
93,6,1
93,8,1
94,1,1
94,3,1
95,8,2
96,4,1
96,6,1
97,7,1
97,1,1
97,9,1
98,8,1
99,7,1
