id,plan_type,physical_supplier_id,label_key,label_value,label_priority,create_time,update_time
1597772133062623250,2,0003000000,age_group,婴童,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772133033263153,2,0003000000,age_group,非婴童,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221316,2,0003000000,brand,巴拉巴拉,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132618027058,2,0003000000,brand,森马,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221318,2,0003000000,channel,巴拉巴拉线上,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221317,2,0003000000,channel,巴拉巴拉线下,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132618027060,2,0003000000,channel,森马线上,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132618027059,2,0003000000,channel,森马线下,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132618027057,2,0003000000,fabric_category,梭织,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772133058428957,2,0003000000,item_category,巴拉巴拉梭织便服,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221320,2,0003000000,item_category,巴拉巴拉梭织外套,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221321,2,0003000000,item_category,巴拉巴拉梭织棉服,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221322,2,0003000000,item_category,巴拉巴拉梭织羽绒服,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221319,2,0003000000,item_category,巴拉巴拉梭织裤类,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132618027065,2,0003000000,item_category,森马梭织外套,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221314,2,0003000000,item_category,森马梭织棉服,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221315,2,0003000000,item_category,森马梭织羽绒服,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132618027064,2,0003000000,item_category,森马梭织裤类,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132618027063,2,0003000000,sex,中,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132618027061,2,0003000000,sex,女,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132618027062,2,0003000000,sex,男,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772133071011860,2,0003000000,special_label,针织梭织做法,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772133033263154,2,0003000001,age_group,非婴童,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221324,2,0003000001,brand,森马,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221325,2,0003000001,channel,森马线下,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221323,2,0003000001,fabric_category,针织,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221329,2,0003000001,item_category,森马针织针织大类,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221328,2,0003000001,sex,中,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221326,2,0003000001,sex,女,0,2022-11-30 09:58:56,2022-11-30 09:58:56
1597772132622221327,2,0003000001,sex,男,0,2022-11-30 09:58:56,2022-11-30 09:58:56
