id,plan_type,physical_supplier_id,month,occupation_target,occupation_target_adjust_ratio,create_time,update_time
1597772159943917609,2,0003000000,2022-08,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917599,2,0003000000,2022-09,1.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917612,2,0003000000,2022-10,0.187,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917615,2,0003000000,2022-11,0.187,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917601,2,0003000000,2022-12,0.698,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917614,2,0003000000,2023-01,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917600,2,0003000000,2023-02,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917602,2,0003000000,2023-03,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917603,2,0003000000,2023-04,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917604,2,0003000000,2023-05,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917605,2,0003000000,2023-06,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917606,2,0003000000,2023-07,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917607,2,0003000000,2023-08,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917608,2,0003000000,2023-09,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917610,2,0003000000,2023-10,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917611,2,0003000000,2023-11,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159943917613,2,0003000000,2023-12,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111909,2,0003000001,2022-08,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111899,2,0003000001,2022-09,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111912,2,0003000001,2022-10,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111915,2,0003000001,2022-11,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111901,2,0003000001,2022-12,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111914,2,0003000001,2023-01,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111900,2,0003000001,2023-02,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111902,2,0003000001,2023-03,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111903,2,0003000001,2023-04,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111904,2,0003000001,2023-05,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111905,2,0003000001,2023-06,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111906,2,0003000001,2023-07,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111907,2,0003000001,2023-08,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111908,2,0003000001,2023-09,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111910,2,0003000001,2023-10,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111911,2,0003000001,2023-11,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159948111913,2,0003000001,2023-12,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500508,2,0003000019,2022-08,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500498,2,0003000019,2022-09,0.847,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500511,2,0003000019,2022-10,0.829,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500514,2,0003000019,2022-11,0.829,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500500,2,0003000019,2022-12,0.953,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500513,2,0003000019,2023-01,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500499,2,0003000019,2023-02,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500501,2,0003000019,2023-03,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500502,2,0003000019,2023-04,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500503,2,0003000019,2023-05,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500504,2,0003000019,2023-06,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500505,2,0003000019,2023-07,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500506,2,0003000019,2023-08,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500507,2,0003000019,2023-09,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500509,2,0003000019,2023-10,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500510,2,0003000019,2023-11,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772159956500512,2,0003000019,2023-12,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772160141049900,2,0003000020,2022-08,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772160141049890,2,0003000020,2022-09,0.525,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772160141049903,2,0003000020,2022-10,0.469,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772160141049906,2,0003000020,2022-11,0.469,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772160141049892,2,0003000020,2022-12,0.619,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772160141049905,2,0003000020,2023-01,0.0,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
1597772160141049891,2,0003000020,2023-02,0.9,1.0,2022-11-30 09:59:02,2022-11-30 09:59:02
