id,plan_type,supplier_id,month,max_line_limit,planned_capacity,available_capacity,extra_order_occupied_capacity,capacity_reservation_ratio,capacity_override_ratio,valid,create_time,update_time
1573620752287068276,2,1573619390140706818,2022-08,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752287068277,2,1573619390140706818,2022-09,0,10,11,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752287068278,2,1573619390140706818,2022-10,0,10,10,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752287068279,2,1573619390140706818,2022-11,0,10,10,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752287068280,2,1573619390140706818,2022-12,0,10,10,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1575382338597089295,2,1573619390140706818,2023-01,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089296,2,1573619390140706818,2023-02,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089297,2,1573619390140706818,2023-03,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089298,2,1573619390140706818,2023-04,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089299,2,1573619390140706818,2023-05,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1574297305098547476,2,1573619390140706818,2023-06,0,0,0,0,0.2,1.2,1,2022-09-26 15:18:21,2022-11-30 09:58:59
1574304278980391463,2,1573619390140706818,2023-07,0,0,0,0,0.2,1.2,1,2022-09-26 15:46:03,2022-11-30 09:58:59
1575382338597089302,2,1573619390140706818,2023-08,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089303,2,1573619390140706818,2023-09,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089304,2,1573619390140706818,2023-10,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089305,2,1573619390140706818,2023-11,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575399391714406701,2,1573619390140706818,2023-12,0,0,0,0,0.2,1.2,1,2022-09-29 16:17:39,2022-11-30 09:58:59
1573620751993467657,2,1573619390149095426,2022-08,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620751993467658,2,1573619390149095426,2022-09,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620751993467659,2,1573619390149095426,2022-10,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620751993467660,2,1573619390149095426,2022-11,0,2,2,0,0.0,1.0,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620751993467661,2,1573619390149095426,2022-12,0,2,3,0,0.0,1.5,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1575382338597089812,2,1573619390149095426,2023-01,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089813,2,1573619390149095426,2023-02,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089814,2,1573619390149095426,2023-03,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089815,2,1573619390149095426,2023-04,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089816,2,1573619390149095426,2023-05,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1574297305098547523,2,1573619390149095426,2023-06,0,0,0,0,0.2,1.2,1,2022-09-26 15:18:21,2022-11-30 09:58:59
1574304278980391557,2,1573619390149095426,2023-07,0,0,0,0,0.2,1.2,1,2022-09-26 15:46:03,2022-11-30 09:58:59
1575382338597089819,2,1573619390149095426,2023-08,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089820,2,1573619390149095426,2023-09,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089821,2,1573619390149095426,2023-10,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382338597089822,2,1573619390149095426,2023-11,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575399391718601049,2,1573619390149095426,2023-12,0,0,0,0,0.2,1.2,1,2022-09-29 16:17:39,2022-11-30 09:58:59
1573620751993466997,2,1573619390170066945,2022-08,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620751993466998,2,1573619390170066945,2022-09,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620751993466999,2,1573619390170066945,2022-10,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620751993467000,2,1573619390170066945,2022-11,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620751993467001,2,1573619390170066945,2022-12,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1575382337980526914,2,1573619390170066945,2023-01,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337980526915,2,1573619390170066945,2023-02,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337980526916,2,1573619390170066945,2023-03,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337980526917,2,1573619390170066945,2023-04,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337980526918,2,1573619390170066945,2023-05,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1574297305098547322,2,1573619390170066945,2023-06,0,0,0,0,0.2,1.2,1,2022-09-26 15:18:21,2022-11-30 09:58:59
1574304278980391155,2,1573619390170066945,2023-07,0,0,0,0,0.2,1.2,1,2022-09-26 15:46:03,2022-11-30 09:58:59
1575382337980526921,2,1573619390170066945,2023-08,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337980526922,2,1573619390170066945,2023-09,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337980526923,2,1573619390170066945,2023-10,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337980526924,2,1573619390170066945,2023-11,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575399390909100484,2,1573619390170066945,2023-12,0,0,0,0,0.2,1.2,1,2022-09-29 16:17:38,2022-11-30 09:58:59
1573620752287069016,2,1573619390191038465,2022-08,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752287069017,2,1573619390191038465,2022-09,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752287069018,2,1573619390191038465,2022-10,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752287069019,2,1573619390191038465,2022-11,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752287069020,2,1573619390191038465,2022-12,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1575382337665954037,2,1573619390191038465,2023-01,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337665954038,2,1573619390191038465,2023-02,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337665954039,2,1573619390191038465,2023-03,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337665954040,2,1573619390191038465,2023-04,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337665954041,2,1573619390191038465,2023-05,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1574297305098547231,2,1573619390191038465,2023-06,0,0,0,0,0.2,1.2,1,2022-09-26 15:18:21,2022-11-30 09:58:59
1574304278980390973,2,1573619390191038465,2023-07,0,0,0,0,0.2,1.2,1,2022-09-26 15:46:03,2022-11-30 09:58:59
1575382337665954044,2,1573619390191038465,2023-08,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337665954045,2,1573619390191038465,2023-09,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337665954046,2,1573619390191038465,2023-10,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382337665954047,2,1573619390191038465,2023-11,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575399390514835817,2,1573619390191038465,2023-12,0,0,0,0,0.2,1.2,1,2022-09-29 16:17:38,2022-11-30 09:58:59
1573620752500977726,2,1573619390195232769,2022-08,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752500977727,2,1573619390195232769,2022-09,0,53,63,0,0.0,1.189,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752500977728,2,1573619390195232769,2022-10,0,53,63,0,0.0,1.189,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752500977729,2,1573619390195232769,2022-11,0,53,63,0,0.0,1.189,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752500977730,2,1573619390195232769,2022-12,0,9,11,0,0.0,1.223,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1575382337980527255,2,1573619390195232769,2023-01,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:59:00
1575382337980527256,2,1573619390195232769,2023-02,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:59:00
1575382337980527257,2,1573619390195232769,2023-03,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:59:00
1575382337980527258,2,1573619390195232769,2023-04,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:59:00
1575382337980527259,2,1573619390195232769,2023-05,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:59:00
1574297305098547353,2,1573619390195232769,2023-06,0,0,0,0,0.2,1.2,1,2022-09-26 15:18:21,2022-11-30 09:59:00
1574304278980391217,2,1573619390195232769,2023-07,0,0,0,0,0.2,1.2,1,2022-09-26 15:46:03,2022-11-30 09:59:00
1575382337980527262,2,1573619390195232769,2023-08,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:59:00
1575382337980527263,2,1573619390195232769,2023-09,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:59:00
1575382337980527264,2,1573619390195232769,2023-10,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:59:00
1575382337980527265,2,1573619390195232769,2023-11,0,0,0,0,0.2,1.2,1,2022-09-29 15:09:53,2022-11-30 09:59:00
1575399390909100856,2,1573619390195232769,2023-12,0,0,0,0,0.2,1.2,1,2022-09-29 16:17:38,2022-11-30 09:59:00
1573620752500977786,2,1573619390195232770,2022-08,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752500977787,2,1573619390195232770,2022-09,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752500977788,2,1573619390195232770,2022-10,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752500977789,2,1573619390195232770,2022-11,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1573620752500977790,2,1573619390195232770,2022-12,0,0,0,0,0.0,1.2,1,2022-09-24 18:29:58,2022-11-30 09:58:58
1575382339591139380,2,1573619390195232770,2023-01,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
1575382339591139381,2,1573619390195232770,2023-02,0,0,0,0,0.0,1.2,1,2022-09-29 15:09:53,2022-11-30 09:58:59
